id_no,name_en,name_fr,body_en,body_fr,lat,long,states_name_en,region
252,Taj Mahal,Le Taj Mahal,<p>An immense mausoleum of white marble - built in Agra between 1631 and 1648 by order of the Mughal emperor Shah Jahan in memory of his favourite wife - the Taj Mahal is the jewel of Muslim art in India and one of the universally admired masterpieces of the world's heritage.</p>,<p>Immense mausol&eacute;e fun&eacute;raire de marbre blanc &eacute;difi&eacute;e entre 1631 et 1648 &agrave; Agra sur l'ordre de l'empereur moghol Shah Jahan pour perp&eacute;tuer le souvenir de son &eacute;pouse favorite - le Taj Mahal - joyau le plus parfait de l'art musulman en Inde - est l'un des chefs-d'&oelig;uvre universellement admir&eacute;s du patrimoine de l'humanit&eacute;.</p>,27.1752332,78.0424342,India,Asia
154,Great Barrier Reef,La Grande Barrière,<p>The Great Barrier Reef is a site of remarkable variety and beauty on the north-east coast of Australia. It contains the world&rsquo;s largest collection of coral reefs - with 400 types of coral - 1 -500 species of fish and 4 -000 types of mollusc. It also holds great scientific interest as the habitat of species such as the dugong (&lsquo;sea cow&rsquo;) and the large green turtle - which are threatened with extinction.</p>,<p>Au nord-est de la c&ocirc;te australienne - le plus grand ensemble corallien du monde offre - avec ses 400 esp&egrave;ces de coraux - ses 1 500 esp&egrave;ces de poissons et ses 4 000 esp&egrave;ces de mollusques - un spectacle d&rsquo;une vari&eacute;t&eacute; et d&rsquo;une beaut&eacute; extraordinaires et d&rsquo;un haut int&eacute;r&ecirc;t scientifique. C&rsquo;est aussi l&rsquo;habitat d&rsquo;esp&egrave;ces menac&eacute;es d&rsquo;extinction - comme le dugong et la grande tortue verte.</p>,-16.8475655,146.2274753,Australia,Asia
75,Grand Canyon National Park,Parc national du Grand Canyon,<p>Carved out by the Colorado River - the Grand Canyon (nearly 1 -500 m deep) is the most spectacular gorge in the world. Located in the state of Arizona - it cuts across the Grand Canyon National Park. Its horizontal strata retrace the geological history of the past 2 billion years. There are also prehistoric traces of human adaptation to a particularly harsh environment.</p>,<p>Sculpt&eacute; par le Colorado - le Grand Canyon - de pr&egrave;s de 1 500 m de profondeur - est la gorge la plus spectaculaire du monde. Situ&eacute; dans l'Arizona - il traverse le parc national du Grand Canyon. Ses strates horizontales retracent une histoire g&eacute;ologique s'&eacute;tendant sur 2 milliards d'ann&eacute;es. On y trouve aussi les vestiges pr&eacute;historiques d'une adaptation humaine &agrave; un environnement particuli&egrave;rement rude.</p>,36.085482,-112.0863174,United States of America,Europe and North America
326,Petra,Petra,<p>Inhabited since prehistoric times - this Nabataean caravan-city - situated between the Red Sea and the Dead Sea - was an important crossroads between Arabia - Egypt and Syria-Phoenicia. Petra is half-built - half-carved into the rock - and is surrounded by mountains riddled with passages and gorges. It is one of the world's most famous archaeological sites - where ancient Eastern traditions blend with Hellenistic architecture.</p>,<p>Habit&eacute;e depuis la pr&eacute;histoire - cette cit&eacute; caravani&egrave;re nabat&eacute;enne situ&eacute;e entre la mer Rouge et la mer Morte fut dans l'Antiquit&eacute; un carrefour important entre l'Arabie - l'&Eacute;gypte et la Syrie-Ph&eacute;nicie. Mi-construite et mi-sculpt&eacute;e dans le roc &agrave; l'int&eacute;rieur d'un cirque de montagnes perc&eacute; de couloirs et de d&eacute;fil&eacute;s - Petra est un site arch&eacute;ologique des plus c&eacute;l&egrave;bres - o&ugrave; se m&ecirc;lent les influences de traditions orientales anciennes et de l'architecture hell&eacute;nistique.</p>,30.3306551,35.4443541,Jordan,Arab States
668,Angkor,Angkor,<p>Angkor is one of the most important archaeological sites in South-East Asia. Stretching over some 400 km2 - including forested area - Angkor Archaeological Park contains the magnificent remains of the different capitals of the Khmer Empire - from the 9th to the 15th century. They include the famous Temple of Angkor Wat and - at Angkor Thom - the Bayon Temple with its countless sculptural decorations. UNESCO has set up a wide-ranging programme to safeguard this symbolic site and its surroundings.</p>,<p>Angkor est l’un des principaux sites archéologiques de l’Asie du Sud-Est. S’étendant sur quelque 400 km2 couverts en partie par la forêt - le parc archéologique d’Angkor recèle les admirables vestiges des différentes capitales de l’Empire khmer qui rayonna entre le IXe et le XVe siècle : le célèbre temple d’Angkor Vat et - à Angkor Thom - le temple du Bayon orné d’innombrables sculptures. L’UNESCO a mis en œuvre un vaste programme de sauvegarde de ce site symbole et de son environnement.</p>,13.4122351,103.8677091,Cambodia,Asia
540,Historic Centre of Saint Petersburg,Centre historique de Saint-Pétersbourg,<p>The 'Venice of the North' - with its numerous canals and more than 400 bridges - is the result of a vast urban project begun in 1703 under Peter the Great. Later known as Leningrad (in the former USSR) - the city is closely associated with the October Revolution. Its architectural heritage reconciles the very different Baroque and pure neoclassical styles - as can be seen in the Admiralty - the Winter Palace - the Marble Palace and the Hermitage.</p>,<p>La &laquo; Venise du Nord &raquo; - avec ses nombreux canaux et plus de 400 ponts - est avant tout le r&eacute;sultat d'un vaste projet d'urbanisme commenc&eacute; en 1703 sous Pierre le Grand. Connue plus tard sous le nom de Leningrad (en ex-URSS) - elle reste &eacute;troitement associ&eacute;e &agrave; la r&eacute;volution d'Octobre. Son patrimoine architectural concilie dans ses &eacute;difices les styles oppos&eacute;s du baroque et du pur n&eacute;oclassicisme comme on le voit dans l'Amiraut&eacute; - le palais d'Hiver - le palais de Marbre et l'Ermitage.</p>,59.9409236,30.315144,Russia,Europe and North America
274,Historic Sanctuary of Machu Picchu,Sanctuaire historique de Machu Picchu,<p>Machu Picchu stands 2 -430 m above sea-level - in the middle of a tropical mountain forest - in an extraordinarily beautiful setting. It was probably the most amazing urban creation of the Inca Empire at its height; its giant walls - terraces and ramps seem as if they have been cut naturally in the continuous rock escarpments. The natural setting - on the eastern slopes of the Andes - encompasses the upper Amazon basin with its rich diversity of flora and fauna.</p>,<p>&Agrave; 2 430 m d'altitude - dans un site montagneux d'une extraordinaire beaut&eacute; - au milieu d'une for&ecirc;t tropicale - Machu Picchu a probablement &eacute;t&eacute; la cr&eacute;ation urbaine la plus stup&eacute;fiante de l'Empire inca &agrave; son apog&eacute;e : murailles - terrasses et rampes gigantesques sculptent les escarpements rocheux dont elles paraissent le prolongement. Le cadre naturel - sur le versant oriental des Andes - fait partie du bassin sup&eacute;rieur de l'Amazone - riche d'une flore et d'une faune tr&egrave;s vari&eacute;es.</p>,-13.162711,-72.5446233,Peru,Latin America and the Caribbean
204,Old Havana and its Fortification System,Vieille ville de La Havane et son système de fortifications,<p>Havana was founded in 1519 by the Spanish. By the 17th century - it had become one of the Caribbean's main centres for ship-building. Although it is today a sprawling metropolis of 2 million inhabitants - its old centre retains an interesting mix of Baroque and neoclassical monuments - and a homogeneous ensemble of private houses with arcades - balconies - wrought-iron gates and internal courtyards.</p>,<p>Fond&eacute;e en 1519 par les Espagnols - La Havane est devenue au XVII<sup>e</sup> si&egrave;cle un grand centre de construction navale pour les Cara&iuml;bes. Bien qu'elle soit aujourd'hui une m&eacute;tropole tentaculaire de deux millions d'habitants - son centre ancien conserve un m&eacute;lange int&eacute;ressant de monuments baroques et n&eacute;oclassiques - ainsi qu'un ensemble homog&egrave;ne de maisons avec des arcades - des balcons - des grilles en fer forg&eacute; et des cours int&eacute;rieures.</p>,23.1381529,-82.3592423,Cuba,Latin America and the Caribbean
307,Statue of Liberty,Statue de la Liberté,<p>Made in Paris by the French sculptor Bartholdi - in collaboration with Gustave Eiffel (who was responsible for the steel framework) - this towering monument to liberty was a gift from France on the centenary of American independence. Inaugurated in 1886 - the sculpture stands at the entrance to New York Harbour and has welcomed millions of immigrants to the United States ever since.</p>,<p>Ex&eacute;cut&eacute;e &agrave; Paris par le sculpteur Bartholdi avec la collaboration de Gustave Eiffel pour la charpente m&eacute;tallique - la statue colossale de la Libert&eacute; &eacute;clairant le monde fut offerte par la France pour le centenaire de l'ind&eacute;pendance des &Eacute;tats-Unis. Inaugur&eacute;e en 1886 - elle a accueilli depuis lors &agrave; l'entr&eacute;e du port de New York des millions d'immigrants venus peupler les &Eacute;tats-Unis.</p>,40.6890144,-74.0444946,United States of America,Europe and North America
86,Memphis and its Necropolis – the Pyramid Fields from Giza to Dahshur,Memphis et sa nécropole –  les zones des  pyramides de Guizeh à Dahchour,<p>The capital of the Old Kingdom of Egypt has some extraordinary funerary monuments - including rock tombs - ornate mastabas - temples and pyramids. In ancient times - the site was considered one of the Seven Wonders of the World.</p>,<p>Autour de la capitale de l'Ancien Empire &eacute;gyptien subsistent d'extraordinaires ensembles fun&eacute;raires avec leurs tombes rupestres - leurs <em>mastabas</em> finement d&eacute;cor&eacute;s - leur temples et leurs pyramides. Le site &eacute;tait consid&eacute;r&eacute; dans l'Antiquit&eacute; comme l'une des Sept Merveilles du monde.</p>,29.9792423,31.1358089,Egypt,Arab States
